county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,cleveland,duncan,housewritein,housetotal
abbeville,Abbeville No. 1,898,2161,41.55483572420176,139,6,1,5,0,207,3,3,364,245,2,4,1,610,2,21,885,222,14,630,2,1,869,229,634,0,863
abbeville,Abbeville No. 2,696,1970,35.32994923857868,248,7,0,4,0,103,3,1,366,373,1,2,0,303,1,7,687,344,6,312,4,0,666,345,309,0,654
abbeville,Abbeville No. 3,517,1373,37.65477057538237,134,1,0,2,1,90,2,0,230,214,3,3,2,284,2,5,513,202,11,286,3,0,502,197,296,0,493
abbeville,Abbeville No. 4,421,868,48.50230414746544,82,0,0,3,0,101,3,1,190,131,2,2,1,279,0,5,420,122,16,266,4,0,408,121,287,0,408
abbeville,Antreville,621,1055,58.86255924170616,72,2,0,2,1,209,2,2,290,105,1,3,1,496,0,7,613,104,12,480,8,0,604,101,495,0,596
abbeville,Broadmouth,287,491,58.45213849287168,41,2,1,2,3,99,2,0,150,62,0,3,1,215,0,3,284,69,2,200,2,1,274,58,211,1,270
abbeville,Calhoun Falls,942,1795,52.4791086350975,401,10,0,6,3,177,2,1,600,514,3,3,2,407,2,6,937,496,8,394,7,0,905,495,396,0,891
abbeville,Cold Springs,500,801,62.421972534332085,48,1,0,2,2,107,1,1,162,88,1,1,3,396,0,6,495,89,8,388,1,0,486,80,405,0,485
abbeville,Donalds,311,497,62.57545271629779,22,1,0,1,0,104,1,1,130,44,2,3,2,254,0,2,307,52,5,234,3,0,294,43,249,0,292
abbeville,Due West,803,1433,56.03628750872296,155,2,2,0,1,198,4,3,365,233,7,11,7,520,2,13,793,231,16,536,4,0,787,226,548,0,774
abbeville,Hall's Store,405,655,61.832061068702295,83,1,0,1,0,103,1,0,189,136,0,4,1,255,0,2,398,116,3,260,4,0,383,116,271,0,387
abbeville,Keowee,617,1031,59.84481086323957,71,6,2,12,1,221,1,2,316,109,1,6,4,491,0,4,615,132,10,445,5,1,593,113,475,1,589
abbeville,Lowndesville,586,1031,56.83802133850631,55,1,0,2,0,222,3,2,285,81,2,1,2,483,0,8,577,85,13,459,1,0,558,86,461,0,547
abbeville,Lebanon,433,731,59.23392612859097,82,2,2,3,0,128,1,1,219,107,1,2,2,309,1,10,432,104,16,293,2,0,415,100,310,0,410
