county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,cleveland,duncan,housewritein,housetotal
anderson,Appleton-Equinox,349,899,38.82091212458287,115,7,1,3,1,87,1,2,217,171,1,1,4,161,1,9,348,150,11,164,2,0,327,153,168,0,321
anderson,Barker's Creek-McAdams,245,336,72.91666666666666,12,1,0,0,1,82,0,0,96,24,0,0,0,218,0,1,243,29,5,205,1,0,240,24,214,0,238
anderson,Belton,897,1831,48.98962315674495,133,10,2,8,2,315,2,1,473,208,4,4,3,653,1,17,890,210,16,620,5,2,853,187,643,1,831
anderson,Broadview,347,642,54.04984423676012,151,3,0,1,1,55,2,1,214,217,1,1,0,119,0,3,341,195,2,133,2,0,332,200,124,0,324
anderson,Bishop's Branch,1139,1860,61.236559139784944,117,6,0,10,2,406,3,5,549,254,7,9,9,821,4,23,1127,213,30,853,3,3,1102,209,871,1,1081
anderson,Bowling Green,363,634,57.25552050473186,26,4,0,1,0,144,1,1,177,56,0,3,0,294,1,7,361,58,7,284,3,0,352,54,292,0,346
anderson,Broadway,655,1306,50.153139356814705,156,8,0,5,4,219,1,1,394,212,5,7,4,412,0,10,650,212,11,415,1,0,639,197,431,0,628
anderson,Brushy Creek,1406,2161,65.06247107820454,95,7,1,5,3,521,1,3,636,215,5,9,6,1130,1,26,1392,168,24,1174,8,2,1376,173,1181,1,1355
anderson,Cedar Grove,752,1340,56.11940298507463,74,5,1,3,0,289,3,2,377,132,0,7,3,596,0,8,746,134,18,564,0,0,716,113,584,1,698
anderson,Centerville Station A,1424,2710,52.54612546125461,162,9,0,6,4,482,7,7,677,338,3,5,12,1034,1,22,1415,300,27,1044,12,1,1384,308,1057,0,1365
anderson,Chiquola Mill,309,712,43.39887640449438,83,3,0,3,0,83,1,1,174,125,0,5,1,168,0,7,306,124,8,155,7,1,295,116,170,0,286
anderson,Concrete,1689,2850,59.26315789473684,155,3,1,8,3,636,3,11,820,332,6,19,14,1260,3,38,1672,281,38,1316,7,3,1645,285,1335,1,1621
anderson,Craytonville,608,964,63.07053941908713,24,5,1,0,2,276,1,0,309,49,2,4,2,536,0,11,604,61,9,518,2,0,590,46,531,0,577
anderson,Denver-Sandy Springs,774,1587,48.77126654064272,62,4,0,5,3,219,2,1,296,155,1,6,7,573,1,21,764,133,10,601,7,1,752,133,600,1,734
anderson,Edgewood Station A,984,2134,46.11059044048735,186,5,1,7,1,266,2,3,471,337,1,15,8,585,1,33,980,286,32,620,11,1,950,298,633,0,931
anderson,Five Forks,981,1454,67.46905089408529,110,4,0,5,0,324,0,2,445,228,1,8,3,704,1,21,966,183,21,746,7,0,957,205,739,0,944
anderson,Flat Rock,748,1316,56.838905775075986,91,10,2,6,2,278,4,4,397,146,0,5,2,574,1,8,736,143,20,550,6,0,719,140,567,0,707
anderson,Fork No.1,742,1316,56.38297872340425,67,3,0,1,0,252,2,1,326,154,0,6,2,561,1,11,735,113,16,574,4,0,707,124,571,1,696
