county,precinct,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal
anderson,Appleton-Equinox,171,1,1,4,161,1,9,348
anderson,Barker's Creek-McAdams,24,0,0,0,218,0,1,243
anderson,Belton,208,4,4,3,653,1,17,890
anderson,Broadview,217,1,1,0,119,0,3,341
anderson,Bishop's Branch,254,7,9,9,821,4,23,1127
anderson,Bowling Green,56,0,3,0,294,1,7,361
anderson,Broadway,212,5,7,4,412,0,10,650
anderson,Brushy Creek,215,5,9,6,1130,1,26,1392
anderson,Cedar Grove,132,0,7,3,596,0,8,746
anderson,Centerville Station A,338,3,5,12,1034,1,22,1415
anderson,Chiquola Mill,125,0,5,1,168,0,7,306
anderson,Concrete,332,6,19,14,1260,3,38,1672
anderson,Craytonville,49,2,4,2,536,0,11,604
anderson,Denver-Sandy Springs,155,1,6,7,573,1,21,764
anderson,Edgewood Station A,337,1,15,8,585,1,33,980
anderson,Five Forks,228,1,8,3,704,1,21,966
anderson,Flat Rock,146,0,5,2,574,1,8,736
anderson,Fork No.1,154,0,6,2,561,1,11,735
anderson,Fork No.2,141,2,8,5,695,1,20,872
anderson,Friendship,100,3,2,4,565,1,5,680
anderson,Gluck Mill,92,0,3,1,115,1,1,213
anderson,Green Pond Station A,266,2,6,6,1043,3,30,1356
anderson,Grove School,42,0,1,0,313,0,4,360
anderson,Hall,158,2,5,3,535,0,8,711
anderson,Hammond School,266,5,19,7,838,1,40,1176
anderson,High Point,45,1,2,2,303,1,4,358
anderson,Homeland Park,479,2,5,8,618,2,12,1126
anderson,Honea Path,149,2,3,2,640,1,17,814
anderson,Hopewell,178,4,10,2,621,1,23,839
anderson,Iva,151,2,9,3,679,1,12,857
anderson,Jackson Mill,57,1,3,1,345,3,14,424
anderson,La France,129,0,11,6,376,0,9,531
anderson,Melton,100,4,5,4,289,0,10,412
anderson,Mount Tabor,329,1,12,3,907,1,24,1277
anderson,Mountain Creek,144,2,4,0,443,1,7,601
anderson,Neal's Creek,297,2,11,5,596,0,17,928
anderson,North Pointe,191,1,21,3,628,0,26,870
anderson,Pelzer,53,1,1,2,371,0,10,438
anderson,Pendleton,687,3,32,18,691,11,54,1496
anderson,Piedmont,101,2,3,7,378,0,8,499
anderson,Piercetown,178,3,13,8,928,6,24,1160
anderson,Rock Mill,118,0,3,2,514,3,7,647
anderson,Rock Spring,104,0,2,0,347,1,9,463
anderson,Shirley's Store,86,0,1,0,375,1,8,471
anderson,Simpsonville,251,9,14,8,1163,1,42,1488
anderson,Starr,68,1,1,0,445,0,8,523
anderson,Three and Twenty,184,5,16,3,1158,0,32,1398
anderson,Toney Creek,42,0,1,3,255,1,8,310
anderson,Townville,68,2,4,3,345,1,8,431
anderson,Town Creek,154,3,12,2,563,1,22,757
anderson,West Pelzer,145,3,3,4,816,0,21,992
anderson,West Savannah,52,1,0,0,136,1,3,193
anderson,White Plains,255,9,17,14,1373,2,40,1710
anderson,Williamston,245,4,12,9,912,2,33,1217
anderson,Williamston Mill,215,2,6,7,1141,1,25,1397
anderson,Wright's School,55,1,2,1,418,0,3,480
anderson,Anderson 1/1,257,1,10,7,391,0,18,684
anderson,Anderson 1/2,171,4,5,4,479,2,14,679
anderson,Anderson 2/1,174,3,20,10,441,0,22,670
anderson,Anderson 2/2,399,3,21,6,691,1,36,1157
anderson,Anderson 3/1,198,0,6,2,123,1,11,341
anderson,Anderson 3/2,773,3,6,4,309,1,9,1105
anderson,Anderson 4/1,242,1,2,1,51,1,8,306
anderson,Anderson 4/2,288,0,0,4,33,1,3,329
anderson,Anderson 5/A,217,0,2,3,78,0,5,305
anderson,Anderson 5/B,414,1,6,2,92,0,1,516
anderson,Anderson 6/1,284,3,17,9,510,2,35,860
anderson,Anderson 6/2,153,0,0,1,21,0,2,177
anderson,Varennes,211,2,6,3,315,1,10,548
anderson,Lakeside,445,6,8,5,699,3,13,1179
anderson,Centerville Station B,367,3,12,9,921,1,32,1345
anderson,Edgewood Station B,226,2,24,4,747,1,27,1031
anderson,Cox's Creek,113,0,11,1,304,1,24,454
anderson,Mt. Airy,222,7,18,2,1162,0,30,1441
anderson,Belton Annex,235,2,8,6,719,1,25,996
anderson,Powdersville,336,10,10,13,1269,0,34,1672
anderson,Glenview,298,5,15,12,606,0,14,950
anderson,Hammond Annex,207,4,18,4,609,0,18,860
anderson,Center Rock,260,2,10,2,990,3,17,1284
anderson,Hunt Meadows,375,16,23,14,1834,4,62,2328
anderson,Absentee 1,1071,10,36,19,2109,6,49,3300
anderson,Absentee 2,1520,11,40,24,3969,8,67,5639
anderson,Absentee 3,719,9,28,13,1661,3,34,2467
anderson,Absentee 4,1035,5,15,14,1596,3,41,2709
anderson,Emergency 1,0,0,0,0,0,0,0,0
anderson,Emergency 2,0,0,0,0,0,0,0,0
anderson,Emergency 3,0,0,0,0,0,0,0,0
anderson,Emergency 4,0,0,0,0,0,0,0,0
anderson,Failsafe 1,24,0,0,1,21,0,0,46
anderson,Failsafe 2,27,0,0,1,46,0,1,75
anderson,Failsafe 3,17,0,0,0,22,0,2,41
anderson,Failsafe 4,34,0,1,0,14,1,1,51
anderson,Provisional 1,1,0,0,0,10,0,0,11
anderson,Provisional 2,2,0,0,0,3,0,0,5
anderson,Provisional 3,0,0,0,0,4,0,0,4
anderson,Provisional 4,1,0,0,0,5,0,0,6
anderson,Failsafe / Provisional 1,53,1,1,2,101,0,3,161
