county,precinct,dixon,bledsoe,scott,scarborough,senwritein,sentotal
anderson,Appleton-Equinox,150,11,164,2,0,327
anderson,Barker's Creek-McAdams,29,5,205,1,0,240
anderson,Belton,210,16,620,5,2,853
anderson,Broadview,195,2,133,2,0,332
anderson,Bishop's Branch,213,30,853,3,3,1102
anderson,Bowling Green,58,7,284,3,0,352
anderson,Broadway,212,11,415,1,0,639
anderson,Brushy Creek,168,24,1174,8,2,1376
anderson,Cedar Grove,134,18,564,0,0,716
anderson,Centerville Station A,300,27,1044,12,1,1384
anderson,Chiquola Mill,124,8,155,7,1,295
anderson,Concrete,281,38,1316,7,3,1645
anderson,Craytonville,61,9,518,2,0,590
anderson,Denver-Sandy Springs,133,10,601,7,1,752
anderson,Edgewood Station A,286,32,620,11,1,950
anderson,Five Forks,183,21,746,7,0,957
anderson,Flat Rock,143,20,550,6,0,719
anderson,Fork No.1,113,16,574,4,0,707
anderson,Fork No.2,126,24,692,10,0,852
anderson,Friendship,114,10,532,4,0,660
anderson,Gluck Mill,92,5,101,3,0,201
anderson,Green Pond Station A,249,28,1020,14,2,1313
anderson,Grove School,41,7,297,1,0,346
anderson,Hall,162,17,498,6,1,684
anderson,Hammond School,212,22,906,5,0,1145
anderson,High Point,43,2,304,0,0,349
anderson,Homeland Park,454,23,584,11,1,1073
anderson,Honea Path,134,22,637,5,1,799
anderson,Hopewell,121,14,681,3,0,819
anderson,Iva,164,17,639,8,0,828
anderson,Jackson Mill,51,8,348,5,0,412
anderson,La France,125,16,376,5,1,523
anderson,Melton,90,13,295,2,0,400
anderson,Mount Tabor,292,18,942,11,0,1263
anderson,Mountain Creek,145,15,415,6,3,584
anderson,Neal's Creek,282,21,588,8,2,901
anderson,North Pointe,128,16,705,2,1,852
anderson,Pelzer,71,10,335,6,1,423
anderson,Pendleton,554,39,848,9,0,1450
anderson,Piedmont,105,13,371,4,1,494
anderson,Piercetown,157,21,945,2,1,1126
anderson,Rock Mill,96,10,521,1,0,628
anderson,Rock Spring,103,4,330,1,0,438
anderson,Shirley's Store,81,8,365,3,1,458
anderson,Simpsonville,231,42,1180,14,1,1468
anderson,Starr,76,9,416,2,1,504
anderson,Three and Twenty,166,38,1161,13,1,1379
anderson,Toney Creek,42,10,242,7,0,301
anderson,Townville,61,17,332,4,0,414
anderson,Town Creek,112,11,627,2,0,752
anderson,West Pelzer,140,23,791,6,1,961
anderson,West Savannah,45,5,132,2,0,184
anderson,White Plains,260,38,1364,13,2,1677
anderson,Williamston,219,25,927,5,1,1177
anderson,Williamston Mill,202,33,1106,18,2,1361
anderson,Wright's School,63,4,400,4,0,471
anderson,Anderson 1/1,217,15,430,3,0,665
anderson,Anderson 1/2,124,13,530,2,2,671
anderson,Anderson 2/1,154,17,484,2,0,657
anderson,Anderson 2/2,325,29,765,13,0,1132
anderson,Anderson 3/1,184,3,145,6,0,338
anderson,Anderson 3/2,725,7,335,6,2,1075
anderson,Anderson 4/1,220,7,65,3,0,295
anderson,Anderson 4/2,269,2,44,5,0,320
anderson,Anderson 5/A,198,5,93,2,0,298
anderson,Anderson 5/B,398,2,94,3,0,497
anderson,Anderson 6/1,231,22,586,2,0,841
anderson,Anderson 6/2,137,1,34,0,0,172
anderson,Varennes,205,13,306,6,0,530
anderson,Lakeside,423,30,679,10,0,1142
anderson,Centerville Station B,330,26,950,20,0,1326
anderson,Edgewood Station B,174,20,809,6,1,1010
anderson,Cox's Creek,80,10,349,1,0,440
anderson,Mt. Airy,182,25,1200,6,0,1413
anderson,Belton Annex,220,26,728,5,0,979
anderson,Powdersville,324,32,1276,8,1,1641
anderson,Glenview,259,13,649,3,1,925
anderson,Hammond Annex,157,12,676,0,0,845
anderson,Center Rock,259,27,954,8,1,1249
anderson,Hunt Meadows,322,49,1904,11,2,2288
anderson,Absentee 1,911,35,2224,14,0,3184
anderson,Absentee 2,1253,62,4159,15,1,5490
anderson,Absentee 3,578,29,1770,9,1,2387
anderson,Absentee 4,833,34,1730,13,2,2612
anderson,Emergency 1,0,0,0,0,0,0
anderson,Emergency 2,0,0,0,0,0,0
anderson,Emergency 3,0,0,0,0,0,0
anderson,Emergency 4,0,0,0,0,0,0
anderson,Failsafe 1,24,0,17,0,1,42
anderson,Failsafe 2,28,1,44,0,0,73
anderson,Failsafe 3,16,2,22,0,0,40
anderson,Failsafe 4,33,0,14,3,0,50
anderson,Provisional 1,1,0,8,0,0,9
anderson,Provisional 2,3,0,2,0,0,5
anderson,Provisional 3,0,0,5,0,0,5
anderson,Provisional 4,1,0,5,0,0,6
anderson,Failsafe / Provisional 1,48,4,101,3,1,157
