county,precinct,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal
anderson,Appleton-Equinox,115,7,1,3,1,87,1,2,217
anderson,Barker's Creek-McAdams,12,1,0,0,1,82,0,0,96
anderson,Belton,133,10,2,8,2,315,2,1,473
anderson,Broadview,151,3,0,1,1,55,2,1,214
anderson,Bishop's Branch,117,6,0,10,2,406,3,5,549
anderson,Bowling Green,26,4,0,1,0,144,1,1,177
anderson,Broadway,156,8,0,5,4,219,1,1,394
anderson,Brushy Creek,95,7,1,5,3,521,1,3,636
anderson,Cedar Grove,74,5,1,3,0,289,3,2,377
anderson,Centerville Station A,162,9,0,6,4,482,7,7,677
anderson,Chiquola Mill,83,3,0,3,0,83,1,1,174
anderson,Concrete,155,3,1,8,3,636,3,11,820
anderson,Craytonville,24,5,1,0,2,276,1,0,309
anderson,Denver-Sandy Springs,62,4,0,5,3,219,2,1,296
anderson,Edgewood Station A,186,5,1,7,1,266,2,3,471
anderson,Five Forks,110,4,0,5,0,324,0,2,445
anderson,Flat Rock,91,10,2,6,2,278,4,4,397
anderson,Fork No.1,67,3,0,1,0,252,2,1,326
anderson,Fork No.2,61,3,1,9,1,320,4,3,402
anderson,Friendship,74,12,2,2,3,262,2,1,358
anderson,Gluck Mill,66,5,0,0,1,51,3,0,126
anderson,Green Pond Station A,141,7,0,6,4,461,8,3,630
anderson,Grove School,16,0,0,3,0,103,0,0,122
anderson,Hall,101,6,0,7,2,249,2,1,368
anderson,Hammond School,107,5,2,8,1,345,3,4,475
anderson,High Point,21,1,0,3,0,133,0,1,159
anderson,Homeland Park,323,18,1,19,3,302,8,5,679
anderson,Honea Path,85,2,0,4,1,297,6,2,397
anderson,Hopewell,66,4,1,4,1,259,3,3,341
anderson,Iva,89,10,3,7,1,286,8,0,404
anderson,Jackson Mill,22,3,0,4,1,155,3,2,190
anderson,La France,73,2,0,3,1,138,4,0,221
anderson,Melton,49,5,0,1,2,126,0,3,186
anderson,Mount Tabor,163,7,0,8,0,458,4,4,644
anderson,Mountain Creek,98,6,1,7,0,226,4,2,344
anderson,Neal's Creek,201,6,2,5,3,288,5,3,513
anderson,North Pointe,49,0,0,3,2,277,0,3,334
