county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,person,mulvaney,barnes,housewritein,housetotal
cherokee,Allens,573,1031,55.57710960232784,29,6,1,4,5,238,5,1,289,51,1,1,5,505,2,4,569,60,10,465,7,3,545,54,474,12,0,540
cherokee,Alma Mill,773,1787,43.256855064353665,253,10,1,1,3,165,3,0,436,404,1,4,5,343,3,4,764,379,13,334,6,2,734,389,321,16,1,727
cherokee,Antioch and Kings Creek,729,1239,58.83777239709443,45,13,0,9,3,356,7,3,436,77,2,6,2,621,3,10,721,108,21,552,6,0,687,85,586,22,1,694
cherokee,Ashworth,660,1115,59.19282511210763,28,3,0,2,1,259,2,2,297,60,0,3,6,582,1,6,658,75,8,559,2,0,644,65,563,14,0,642
cherokee,Blacksburg Ward No. 1,506,961,52.653485952133195,88,3,0,1,1,173,0,4,270,129,1,1,0,365,0,6,502,130,11,343,4,1,489,126,351,12,1,490
cherokee,Blacksburg Ward No. 2,736,1357,54.23728813559322,67,6,2,2,0,300,3,3,383,120,3,1,2,584,3,20,733,126,30,529,5,0,690,112,556,17,0,685
cherokee,Draytonville,816,1539,53.021442495126706,115,10,1,9,1,249,6,0,391,168,2,3,2,630,2,9,816,184,12,582,9,0,787,166,593,29,0,788
cherokee,Ezells and Butler,803,1365,58.82783882783883,66,11,1,3,3,310,2,2,398,122,4,7,4,655,0,6,798,132,17,629,7,0,785,114,641,19,0,774
cherokee,Gaffney Ward No. 1,333,765,43.529411764705884,185,4,0,3,0,43,3,1,239,231,0,0,0,94,1,4,330,223,6,85,4,0,318,219,87,11,0,317
cherokee,Gaffney Ward No. 2,524,1235,42.42914979757085,317,4,0,4,1,58,3,1,388,406,0,4,3,102,0,5,520,387,4,112,5,1,509,390,103,10,1,504
cherokee,Gaffney Ward No. 3,454,1062,42.749529190207156,241,2,2,1,0,23,2,1,272,370,0,2,1,71,0,8,452,336,6,82,3,0,427,347,73,8,0,428
cherokee,Gaffney Ward No. 4,663,1241,53.42465753424658,225,4,0,3,0,118,3,1,354,331,1,6,5,306,0,10,659,308,7,319,9,0,643,313,307,16,0,636
cherokee,Gaffney Ward No. 5,538,1067,50.42174320524836,96,3,0,8,1,119,0,2,229,193,1,4,3,319,1,9,530,169,10,334,3,2,518,179,327,9,1,516
cherokee,Gaffney Ward No. 6,600,1142,52.53940455341506,83,2,0,1,0,160,3,1,250,150,4,2,2,431,1,8,598,138,9,416,7,1,571,133,426,11,0,570
cherokee,Grassy Pond,1178,1982,59.43491422805247,131,8,0,5,4,331,0,5,484,223,0,4,8,918,0,17,1170,210,15,922,4,0,1151,207,916,10,1,1134
cherokee,Goucher and Thicketty,653,1080,60.46296296296296,41,5,0,8,1,266,0,1,322,83,5,2,2,552,1,5,650,85,11,532,5,0,633,77,532,19,0,628
cherokee,Holly Grove-Buffalo,683,1271,53.73721479150275,37,3,0,8,4,304,2,1,359,69,1,6,7,581,0,14,678,81,17,546,10,0,654,69,561,18,0,648
cherokee,Limestone Mill,354,853,41.50058616647128,124,8,1,2,1,80,1,2,219,163,0,0,1,185,0,4,353,167,4,162,2,0,335,157,172,5,0,334
cherokee,Littlejohn's and Sarratt's,230,338,68.04733727810651,4,0,0,0,0,89,1,0,94,22,2,0,0,204,1,1,230,20,4,199,0,0,223,22,191,6,0,219
cherokee,Macedonia,774,1360,56.91176470588235,65,8,0,4,3,284,0,2,366,126,0,1,2,628,0,9,766,114,17,617,3,0,751,107,622,11,0,740
cherokee,Morgan,675,1106,61.03074141048824,44,5,0,5,1,333,1,0,389,75,0,3,4,585,0,6,673,80,9,567,2,0,658,77,564,8,0,649
cherokee,Musgrove Mill,665,1342,49.55290611028316,109,5,1,1,2,209,2,0,329,172,4,6,2,473,1,5,663,169,11,463,4,0,647,178,459,11,0,648
cherokee,Ninety Nine and Cherokee Falls,501,897,55.852842809364546,19,3,0,7,1,190,4,0,224,45,0,3,0,445,0,3,496,56,7,410,6,0,479,44,422,9,0,475
cherokee,Pleasant Grove,490,938,52.23880597014925,153,1,0,2,1,105,0,1,263,230,0,5,0,251,0,4,490,214,4,257,1,0,476,220,250,6,0,476
cherokee,Pleasant Meadows,350,732,47.81420765027322,163,5,0,1,0,46,3,0,218,244,0,3,1,98,1,0,347,223,2,105,3,0,333,223,101,9,1,334
cherokee,Timber Ridge,539,881,61.18047673098751,35,6,2,3,3,203,0,0,252,55,0,3,1,468,0,9,536,73,11,435,2,1,522,55,444,15,0,514
cherokee,White Plains,737,1306,56.43185298621746,78,9,2,8,0,296,6,1,400,126,1,0,0,592,1,9,729,142,20,537,8,1,708,124,557,20,1,702
cherokee,Wilkinsville and Metcalf,335,533,62.851782363977485,5,0,0,2,1,129,4,1,142,14,2,2,0,310,2,4,334,20,4,286,8,0,318,15,291,7,0,313
cherokee,Woods,602,883,68.1766704416761,30,2,1,2,1,216,2,2,256,74,8,2,1,507,0,9,601,65,20,494,7,3,589,66,502,16,1,585
