county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,cleveland,duncan,housewritein,housetotal
edgefield,Edgefield No.1,481,905,53.149171270718234,95,3,0,5,0,73,2,0,178,162,0,6,4,298,1,5,476,152,9,294,1,1,457,148,305,1,454
edgefield,Edgefield No.2,783,1854,42.23300970873786,251,7,2,3,1,115,5,0,384,372,4,1,0,386,2,13,778,351,13,375,6,1,746,342,397,0,739
edgefield,Johnston No.1,726,1448,50.13812154696132,372,7,0,2,0,95,2,2,480,438,2,4,3,251,2,7,707,449,4,241,5,0,699,437,247,0,684
edgefield,Johnston No.2,683,1323,51.625094482237344,259,6,0,5,1,98,2,1,372,359,1,1,1,307,1,10,680,331,14,302,3,0,650,323,319,0,642
edgefield,Trenton No.1,584,1107,52.75519421860885,179,5,2,3,0,130,3,1,323,256,1,3,2,311,3,5,581,252,14,294,5,0,565,247,309,0,556
edgefield,Merriweather No.1,1402,2445,57.34151329243353,124,5,2,7,5,487,1,6,637,233,12,15,5,1104,1,21,1391,225,33,1086,5,1,1350,207,1128,1,1336
edgefield,Westside,545,881,61.861520998864926,14,3,1,2,1,157,2,1,181,41,1,3,1,487,0,3,536,42,14,454,3,0,513,35,470,0,505
edgefield,Harmony,487,786,61.959287531806616,78,1,0,2,0,89,0,2,172,109,0,3,1,363,0,9,485,109,8,356,0,0,473,99,366,0,465
edgefield,North Side,264,473,55.81395348837209,94,1,0,1,0,41,0,0,137,140,0,0,1,117,0,5,263,132,3,119,0,0,254,121,126,0,247
edgefield,Brunson,306,568,53.87323943661971,136,1,1,1,1,34,0,0,174,178,1,3,2,112,0,4,300,169,4,114,1,0,288,170,117,0,287
edgefield,Merriweather No.2,1609,3096,51.97028423772609,153,7,2,19,3,596,5,6,791,278,13,13,4,1256,1,32,1597,294,35,1207,15,0,1551,268,1261,2,1531
edgefield,Trenton No.2,875,1936,45.196280991735534,328,8,1,4,1,158,2,3,505,490,2,4,1,353,0,16,866,479,18,334,6,0,837,472,359,0,831
