county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,cleveland,duncan,housewritein,housetotal
greenville,GREENVILLE 1,1067,1733,61.569532602423536,109,2,0,8,2,198,0,3,322,337,5,46,9,599,1,56,1053,261,24,755,3,1,1044,NA,NA,NA,NA
greenville,GREENVILLE 3,1511,2492,60.63402889245586,176,1,1,10,4,259,1,6,458,677,3,47,17,670,1,78,1493,500,32,934,3,5,1474,NA,NA,NA,NA
greenville,GREENVILLE 4,1267,2805,45.16934046345811,439,4,2,5,6,161,7,8,632,798,2,30,14,356,4,56,1260,699,34,481,13,1,1228,NA,NA,NA,NA
greenville,GREENVILLE 5,1402,2878,48.71438498957609,325,1,1,6,5,218,2,13,571,777,2,22,21,486,3,81,1392,624,39,677,8,3,1351,NA,NA,NA,NA
greenville,GREENVILLE 6,241,671,35.91654247391952,140,4,0,0,0,22,0,1,167,176,2,4,1,50,0,3,236,166,4,55,2,0,227,NA,NA,NA,NA
greenville,GREENVILLE 7,772,2046,37.732160312805476,478,5,2,7,1,62,3,3,561,633,2,15,5,95,0,15,765,582,14,143,2,0,741,NA,NA,NA,NA
greenville,GREENVILLE 8,1172,3060,38.30065359477125,508,5,4,10,1,127,1,9,665,803,4,20,12,262,2,55,1158,717,31,380,4,1,1133,NA,NA,NA,NA
greenville,GREENVILLE 10,1235,2501,49.38024790083966,300,2,1,5,1,204,2,7,522,643,1,32,10,460,2,71,1219,507,37,636,5,4,1189,NA,NA,NA,NA
greenville,GREENVILLE 14,774,1936,39.9793388429752,566,5,0,4,1,24,5,1,606,702,0,6,3,45,2,9,767,659,9,66,5,2,741,NA,NA,NA,NA
greenville,GREENVILLE 16,1127,2032,55.46259842519685,126,1,0,4,6,279,1,3,420,413,2,22,12,607,4,48,1108,282,21,791,4,1,1099,NA,NA,NA,NA
greenville,GREENVILLE 17,983,1764,55.72562358276644,87,1,1,6,1,214,0,1,311,338,1,29,3,553,1,37,962,190,9,762,1,1,963,NA,NA,NA,NA
greenville,GREENVILLE 18,978,1517,64.46934739617667,53,1,0,3,1,195,1,2,256,314,1,22,2,578,0,45,962,161,10,790,5,0,966,NA,NA,NA,NA
greenville,GREENVILLE 19,1009,2438,41.38638228055783,582,8,2,9,5,69,2,2,679,783,3,16,15,156,1,16,990,733,12,229,6,1,981,NA,NA,NA,NA
greenville,GREENVILLE 20,785,1289,60.89992242048099,60,0,0,1,1,180,1,3,246,274,0,10,4,448,0,38,774,140,10,613,1,0,764,NA,NA,NA,NA
greenville,GREENVILLE 21,862,1652,52.17917675544794,98,1,1,5,1,173,0,4,283,333,2,30,11,404,2,70,852,233,32,570,2,1,838,NA,NA,NA,NA
greenville,GREENVILLE 22,1422,2323,61.213947481704686,166,3,0,9,6,365,2,6,557,462,5,26,9,841,2,63,1408,324,29,1029,5,1,1388,NA,NA,NA,NA
greenville,GREENVILLE 23,1222,2035,60.04914004914005,66,0,0,4,0,304,2,1,377,304,2,23,2,833,2,37,1203,165,11,1013,2,2,1193,NA,NA,NA,NA
greenville,GREENVILLE 24,1735,4028,43.073485600794434,343,3,1,11,5,435,2,10,810,740,7,39,17,821,0,87,1711,619,35,1011,6,1,1672,NA,NA,NA,NA
greenville,GREENVILLE 25,975,2187,44.58161865569273,223,8,1,13,4,225,3,15,492,426,6,21,12,463,2,40,970,371,37,520,12,6,946,NA,NA,NA,NA
greenville,GREENVILLE 26,961,1951,49.25679138903127,326,10,1,8,1,128,1,5,480,555,3,20,8,313,1,47,947,490,25,403,3,0,921,NA,NA,NA,NA
greenville,GREENVILLE 27,745,1307,57.00076511094109,32,1,0,6,0,162,1,2,204,97,15,58,4,527,2,25,728,77,18,634,5,1,735,NA,NA,NA,NA
greenville,GREENVILLE 28,557,1269,43.89282899921198,140,1,1,5,5,98,2,8,260,253,6,9,17,242,0,27,554,241,19,279,2,2,543,NA,NA,NA,NA
greenville,GREENVILLE 29,896,2025,44.24691358024692,448,10,2,7,2,98,1,10,578,651,3,19,7,182,1,23,886,592,21,244,4,1,862,NA,NA,NA,NA
greenville,AIKEN,448,1e3,44.800000000000004,171,3,2,5,1,88,4,2,276,242,3,2,3,183,1,10,444,233,9,180,4,0,426,NA,NA,NA,NA
greenville,ALTAMONT FOREST,830,1249,66.45316253002403,57,0,2,2,1,257,1,5,325,183,2,25,6,581,3,21,821,141,21,649,1,1,813,NA,NA,NA,NA
greenville,ASHETON LAKES,1912,3087,61.937155814706834,153,1,1,6,2,674,1,5,843,450,5,25,10,1328,3,78,1899,301,29,1540,9,0,1879,NA,NA,NA,NA
greenville,AVON,980,1627,60.23355869698832,118,3,1,7,6,278,1,4,418,265,7,18,13,646,2,19,970,221,19,701,4,2,947,NA,NA,NA,NA
