county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,cleveland,duncan,housewritein,housetotal
greenwood,Greenwood No. 1,323,914,35.33916849015317,210,2,0,2,2,23,5,0,244,252,1,4,6,46,1,3,313,247,3,57,4,0,311,253,52,0,305
greenwood,Greenwood No. 2,397,1191,33.33333333333333,300,2,0,2,0,8,0,0,312,364,1,1,1,21,0,3,391,348,2,31,0,0,381,352,27,1,380
greenwood,Greenwood No. 3,549,1266,43.3649289099526,100,1,1,5,1,106,1,5,220,213,0,11,4,295,0,21,544,185,14,327,1,0,527,175,341,1,517
greenwood,Greenwood No. 4,576,1105,52.12669683257919,163,8,0,1,2,125,1,1,301,278,0,4,5,271,2,14,574,274,12,271,1,0,558,261,285,0,546
greenwood,Greenwood No. 5,235,767,30.63885267275098,133,2,0,1,0,27,2,1,166,172,0,2,0,53,1,4,232,167,3,53,0,0,223,161,63,0,224
greenwood,Greenwood No. 6,398,953,41.76285414480588,177,4,0,0,1,74,2,2,260,237,2,1,3,145,1,6,395,227,5,149,1,0,382,226,150,0,376
greenwood,Greenwood No. 7,466,1287,36.20823620823621,180,5,1,4,1,66,4,3,264,270,2,5,4,166,1,15,463,252,10,176,7,0,445,256,186,0,442
greenwood,Greenwood No. 8,468,895,52.29050279329609,97,1,0,2,3,130,0,4,237,172,2,6,5,260,1,13,459,152,7,282,1,0,442,147,284,0,431
greenwood,Glendale,766,1410,54.326241134751776,46,1,2,2,2,217,1,2,273,154,4,14,7,563,0,16,758,125,14,606,1,0,746,116,628,0,744
greenwood,Harris,353,721,48.95977808599168,66,3,1,1,1,80,1,0,153,135,1,2,7,193,2,10,350,115,4,214,4,0,337,110,226,1,337
greenwood,Laco,718,1389,51.69186465082794,144,3,1,6,3,219,10,1,387,213,1,5,5,472,3,11,710,213,8,465,11,1,698,194,493,2,689
greenwood,Ninety Six,453,857,52.85880980163361,102,1,0,5,1,95,0,1,205,175,1,4,4,249,0,12,445,147,12,263,2,0,424,154,261,1,416
greenwood,Ninety Six Mill,418,730,57.26027397260274,27,3,1,2,0,142,0,2,177,51,0,5,2,344,0,13,415,60,12,322,2,0,396,46,345,0,391
greenwood,Ware Shoals,321,703,45.66145092460882,86,5,1,2,1,71,6,3,175,134,2,1,2,169,2,7,317,120,7,159,12,0,298,126,171,1,298
greenwood,Hodges,735,1273,57.73762765121759,87,3,0,0,1,250,3,2,346,161,2,6,3,542,0,13,727,146,12,552,3,1,714,135,569,1,705
greenwood,Cokesbury,548,1122,48.84135472370767,190,3,2,5,0,129,1,2,332,261,3,5,1,267,0,7,544,248,9,264,1,0,522,250,273,1,524
greenwood,Coronaca,758,1429,53.04408677396781,51,7,2,4,0,296,3,2,365,117,3,4,1,610,0,16,751,99,9,622,2,1,733,92,638,0,730
greenwood,Greenwood High,464,935,49.62566844919786,69,4,0,1,1,110,2,4,191,146,3,6,6,293,0,8,462,125,13,314,1,0,453,127,315,0,442
greenwood,Georgetown,466,1024,45.5078125,106,2,0,1,1,105,2,2,219,200,2,6,4,234,1,14,461,163,9,285,3,1,461,172,280,2,454
greenwood,Sandridge,393,623,63.08186195826645,38,1,2,2,0,155,1,2,201,51,1,2,0,328,0,5,387,56,17,305,1,0,379,49,325,0,374
greenwood,Callison,524,911,57.5192096597146,63,5,0,4,0,188,4,2,266,110,3,1,0,394,3,9,520,111,7,379,4,1,502,101,398,1,500
greenwood,Bradley,138,201,68.65671641791045,28,3,0,1,0,42,0,1,75,43,1,0,0,87,0,6,137,43,5,85,0,0,133,41,89,1,131
greenwood,Troy,88,147,59.863945578231295,17,1,0,0,0,24,0,1,43,24,0,0,0,61,0,2,87,20,2,64,1,0,87,20,66,0,86
greenwood,Epworth,380,637,59.65463108320252,32,1,0,2,0,145,2,1,183,59,3,0,0,309,0,5,376,64,8,285,2,0,359,50,309,0,359
greenwood,Verdery,691,1386,49.855699855699854,191,6,1,3,0,130,3,3,337,281,2,8,4,375,4,13,687,265,10,396,2,0,673,263,400,0,663
greenwood,New Market,480,926,51.83585313174947,130,5,1,3,0,124,1,0,264,181,0,5,2,283,2,4,477,177,7,273,3,0,460,164,292,0,456
greenwood,Emerald,299,689,43.39622641509434,147,1,0,4,0,21,4,1,178,223,1,1,0,57,1,8,291,210,4,65,4,0,283,215,63,0,278
greenwood,Airport,529,958,55.219206680584556,35,2,0,2,1,150,0,4,194,103,1,10,3,390,1,17,525,77,12,431,0,0,520,92,425,0,517
greenwood,Emerald High,273,594,45.95959595959596,24,0,0,2,1,84,0,0,111,60,0,6,2,196,0,8,272,53,2,210,1,0,266,49,217,0,266
greenwood,Civic Center,549,1197,45.86466165413533,208,4,0,2,0,104,3,1,322,310,1,1,6,221,3,4,546,301,3,227,1,0,532,289,235,1,525
greenwood,Riley,122,218,55.96330275229357,33,0,0,0,0,32,0,1,66,40,0,0,1,77,0,1,119,39,2,74,1,0,116,38,77,0,115
greenwood,Shoals Junction,192,288,66.66666666666666,22,3,0,1,2,59,2,1,90,43,0,2,2,141,0,2,190,46,4,127,2,1,180,38,141,0,179
greenwood,Greenwood Mill,395,815,48.466257668711656,37,4,1,1,2,92,4,0,141,105,0,5,5,262,0,15,392,92,6,282,3,2,385,86,298,0,384
greenwood,Stonewood,864,1465,58.97610921501707,77,4,1,5,1,280,1,3,372,171,2,2,5,656,2,20,858,149,23,663,3,0,838,126,702,0,828
greenwood,Mimosa Crest,374,819,45.66544566544567,52,1,0,3,0,95,0,3,154,123,0,2,1,228,1,15,370,105,5,252,1,1,364,101,260,0,361
greenwood,Lower Lake,632,1050,60.1904761904762,28,3,0,6,0,233,0,1,271,97,0,3,1,510,0,13,624,77,9,520,6,1,613,75,534,0,609
greenwood,Pinecrest,477,958,49.79123173277662,76,3,0,2,1,111,2,1,196,161,3,8,8,284,0,8,472,150,7,305,4,0,466,148,314,1,463
greenwood,Maxwellton Pike,435,817,53.24357405140759,26,1,0,0,0,138,0,1,166,55,2,2,4,351,1,14,429,58,12,342,1,0,413,47,366,0,413
greenwood,New Castle,505,924,54.65367965367965,50,3,0,2,1,149,0,2,207,101,2,5,6,374,0,13,501,97,7,383,3,0,490,87,399,0,486
greenwood,Rutherford Shoals,441,772,57.12435233160622,84,2,0,4,2,113,0,1,206,145,0,0,4,282,0,5,436,140,3,282,0,0,425,127,293,0,420
greenwood,Liberty,409,856,47.780373831775705,141,4,0,2,0,86,1,1,235,205,1,2,4,186,1,5,404,201,6,178,0,1,386,200,190,0,390
greenwood,Biltmore Pines,594,1075,55.25581395348838,89,5,0,5,1,166,4,3,273,175,1,7,7,385,0,12,587,148,8,417,4,1,578,148,422,0,570
greenwood,Marshall Oaks,248,662,37.46223564954683,129,3,0,1,0,26,3,2,164,186,0,1,1,52,1,6,247,164,6,61,3,0,234,170,62,0,232
greenwood,Sparrows Grace,740,1278,57.90297339593115,36,1,0,1,0,254,1,0,293,97,5,5,3,611,0,15,736,81,10,628,2,0,721,83,635,2,720
greenwood,Mountain Laurel,418,945,44.232804232804234,138,4,0,8,3,95,4,4,256,215,1,4,4,182,1,8,415,210,14,174,5,0,403,205,193,0,398
greenwood,Allie's Crossing,444,830,53.493975903614455,72,7,0,3,2,133,0,0,217,118,0,3,1,307,0,9,438,113,2,301,3,1,420,103,315,0,418
greenwood,Gideon's Way,377,849,44.40518256772673,128,3,1,1,0,75,1,0,209,201,1,5,0,161,1,3,372,195,3,164,4,0,366,191,170,0,361
greenwood,Parson's Mill,409,847,48.28807556080284,66,0,0,3,0,99,1,4,173,136,5,5,3,241,1,17,408,121,12,268,2,0,403,129,270,0,399
