county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,cleveland,duncan,housewritein,housetotal
laurens,LAURENS 1,351,739,47.496617050067655,91,1,1,6,0,29,1,1,130,233,3,2,1,107,0,2,348,193,7,116,3,1,320,195,119,2,316
laurens,LAURENS 2,253,530,47.735849056603776,115,3,0,3,0,10,2,0,133,213,0,0,4,33,0,2,252,194,4,42,4,0,244,197,47,1,245
laurens,LAURENS 3,399,969,41.17647058823529,112,3,0,5,1,76,1,0,198,205,1,2,1,178,1,6,394,171,11,196,6,0,384,172,203,0,375
laurens,LAURENS 4,409,913,44.7973713033954,140,5,0,4,1,18,4,2,174,328,0,2,2,67,3,3,405,268,7,92,4,0,371,271,93,0,364
laurens,LAURENS 5,727,1392,52.22701149425287,65,2,0,3,1,126,1,2,200,260,2,7,3,438,0,11,721,206,15,482,2,1,706,204,491,0,695
laurens,LAURENS 6,561,1269,44.2080378250591,52,3,1,2,0,91,1,1,151,147,3,5,2,388,0,7,552,114,10,411,3,3,541,119,414,1,534
laurens,BAILEY,553,978,56.5439672801636,70,10,0,8,2,107,2,0,199,194,3,8,1,338,0,5,549,167,9,350,3,2,531,154,373,0,527
laurens,TRINITY RIDGE,759,1376,55.15988372093024,98,10,0,8,0,128,1,1,246,254,4,6,0,473,0,13,750,217,19,485,4,0,725,220,501,0,721
laurens,WATTSVILLE,681,1270,53.62204724409448,72,14,1,10,1,159,5,2,264,173,4,8,3,481,2,8,679,161,16,471,6,1,655,139,510,2,651
laurens,BARKSDALE-NARINE,487,936,52.029914529914535,70,7,1,3,2,98,0,1,182,144,2,5,2,331,0,1,485,134,6,321,2,2,465,120,342,0,462
laurens,MADDENS,672,1148,58.536585365853654,73,12,0,7,0,137,3,1,233,166,2,3,3,481,3,4,662,160,15,467,9,0,651,147,499,0,646
laurens,CLINTON 1,711,1427,49.82480728801682,132,6,0,9,3,125,2,3,280,289,3,9,4,383,3,13,704,248,15,395,4,0,662,233,434,1,668
laurens,CLINTON 2,718,1540,46.62337662337662,98,1,2,3,0,73,0,4,181,291,4,19,3,358,1,23,699,222,10,457,0,1,690,228,464,1,693
laurens,JOANNA,1037,1681,61.68947055324212,106,11,0,10,4,252,4,0,387,221,2,8,8,774,0,15,1028,232,21,731,9,0,993,193,798,1,992
