county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,cleveland,duncan,housewritein,housetotal
mccormick,Mt. Carmel,138,265,52.075471698113205,93,0,0,0,0,9,1,0,103,113,0,0,0,20,0,2,135,106,1,23,0,0,130,108,21,0,129
mccormick,Monticello,197,492,40.040650406504064,10,0,0,1,0,44,0,0,55,46,1,1,0,145,0,1,194,34,2,153,2,0,191,31,156,0,187
mccormick,Savannah,629,1791,35.12004466778336,26,2,0,7,1,187,1,2,226,120,0,2,2,488,1,4,617,88,9,500,2,0,599,79,510,0,589
mccormick,Willington,110,229,48.03493449781659,36,0,0,0,0,15,0,0,51,56,0,0,0,49,0,2,107,53,1,49,0,0,103,50,49,0,99
mccormick,McCormick No. 1,493,1311,37.604881769641494,179,7,2,3,1,61,2,0,255,290,3,2,2,182,1,7,487,270,4,189,1,0,464,259,201,0,460
mccormick,Bethany,219,379,57.78364116094987,131,1,0,1,0,23,0,0,156,152,0,3,0,57,0,2,214,154,3,53,0,0,210,148,58,0,206
mccormick,McCormick No. 2,371,1103,33.63553943789665,169,2,0,4,0,38,0,0,213,244,0,2,0,117,0,5,368,230,11,112,1,1,355,231,111,4,346
mccormick,Plum Branch,402,864,46.52777777777778,147,2,0,1,0,75,5,1,231,200,0,0,1,190,4,5,400,201,4,181,4,0,390,189,191,1,381
mccormick,Parksville,109,197,55.32994923857868,6,1,0,2,0,46,1,0,56,13,0,0,1,90,0,2,106,11,1,90,1,1,104,10,92,2,104
mccormick,Modoc,175,283,61.83745583038869,4,1,0,1,0,68,0,0,74,14,0,0,0,156,0,3,173,19,2,149,1,0,171,12,155,1,168
mccormick,Clark's Hill,308,604,50.993377483443716,129,0,0,3,0,78,1,2,213,161,0,2,0,138,0,4,305,150,5,137,2,0,294,154,140,1,295
