county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,cleveland,duncan,housewritein,housetotal
newberry,NEWBERRY WD 1,194,428,45.32710280373832,72,0,0,0,0,19,0,1,92,99,0,0,0,82,0,8,189,97,4,88,2,0,191,NA,NA,NA,NA
newberry,NEWBERRY WD 2,509,1162,43.80378657487091,58,0,0,4,0,55,1,1,119,152,0,10,5,306,2,26,501,129,12,345,3,1,490,NA,NA,NA,NA
newberry,NEWBERRY WD 3,429,920,46.630434782608695,131,5,0,2,0,33,2,1,174,216,0,0,0,190,1,17,424,204,8,194,5,0,411,NA,NA,NA,NA
newberry,NEWBERRY WD 4,244,582,41.92439862542955,149,0,0,0,1,7,0,0,157,204,0,2,0,35,0,3,244,191,3,44,1,0,239,NA,NA,NA,NA
newberry,NEWBERRY WD 5,330,726,45.45454545454545,204,6,1,2,1,6,1,0,221,276,0,1,3,36,1,8,325,271,5,35,1,0,312,NA,NA,NA,NA
newberry,NEWBERRY WD 6,513,1203,42.643391521197,134,1,0,3,1,43,1,1,184,232,1,5,5,244,2,11,500,202,9,281,3,0,495,NA,NA,NA,NA
newberry,BETH-EDEN,311,583,53.34476843910806,44,3,0,0,1,45,3,1,97,81,2,6,5,199,3,11,307,79,11,203,3,1,297,30,99,0,129
newberry,BUSH RIVER,196,315,62.22222222222222,24,0,0,1,0,20,2,0,47,46,0,0,0,143,2,0,191,46,3,139,3,0,191,39,146,0,185
newberry,CHAPPELLS,408,675,60.44444444444444,78,4,0,4,0,132,2,2,222,117,2,2,2,268,1,7,399,113,7,275,0,0,395,104,286,0,390
newberry,FAIRVIEW,929,1627,57.09895513214506,59,3,0,2,1,199,1,2,267,154,2,2,2,736,5,22,923,134,29,735,6,0,904,NA,NA,NA,NA
newberry,HARTFORD,579,1146,50.523560209424076,148,7,1,3,1,65,3,1,229,225,1,4,1,326,1,15,573,216,12,318,3,2,551,199,331,1,531
newberry,HELENA,431,884,48.755656108597286,287,4,1,2,0,12,2,0,308,344,1,1,0,76,1,3,426,327,6,84,1,0,418,10,3,0,13
newberry,KINARDS JALAPA,301,459,65.57734204793029,45,3,0,3,0,52,0,0,103,80,0,3,0,207,1,2,293,78,5,201,1,0,285,72,212,0,284
newberry,JOHNSTONE,309,564,54.78723404255319,52,3,0,3,0,32,1,1,92,95,2,2,0,203,2,2,306,94,4,188,3,1,290,NA,NA,NA,NA
newberry,LITTLE MOUNTAIN,632,1043,60.594439117929056,92,4,1,1,1,114,3,0,216,162,0,0,0,456,2,5,625,148,14,436,4,0,602,NA,NA,NA,NA
newberry,MAYBINTON,50,83,60.24096385542169,27,0,0,0,0,2,0,0,29,35,0,0,0,14,0,0,49,35,0,12,1,0,48,NA,NA,NA,NA
newberry,MIDWAY,203,297,68.35016835016835,7,1,0,1,1,32,0,1,43,23,0,1,1,173,0,4,202,22,5,165,2,0,194,NA,NA,NA,NA
newberry,MT. BETHERL GARMANY,591,1226,48.20554649265905,187,3,0,1,0,54,2,0,247,305,1,0,3,267,1,9,586,282,20,258,5,0,565,NA,NA,NA,NA
newberry,CONSOLIDATED #5,677,1059,63.92823418319169,77,5,0,0,1,73,4,0,160,174,1,4,10,471,1,10,671,140,15,484,4,1,644,NA,NA,NA,NA
newberry,O'NEAL,820,1398,58.6552217453505,52,4,0,3,1,181,5,1,247,141,1,9,5,636,2,12,806,111,15,646,11,1,784,NA,NA,NA,NA
newberry,OAKLAND,337,790,42.65822784810126,189,9,0,2,1,11,3,0,215,250,1,5,1,68,1,5,331,247,2,76,6,0,331,NA,NA,NA,NA
newberry,PEAK,90,127,70.86614173228347,7,0,0,0,0,12,0,0,19,19,0,0,0,65,0,4,88,10,1,70,4,0,85,NA,NA,NA,NA
newberry,PONARIA,409,611,66.93944353518822,52,2,0,4,3,61,2,0,124,94,0,4,0,298,3,6,405,80,9,293,5,0,387,NA,NA,NA,NA
newberry,PROSPERITY,965,1888,51.11228813559322,237,5,0,8,1,108,3,0,362,371,1,4,5,563,0,17,961,356,20,544,7,1,928,NA,NA,NA,NA
newberry,SILVERSTREET,423,767,55.14993481095176,81,4,0,2,0,51,2,2,142,128,1,2,0,275,0,12,418,123,9,270,5,0,407,110,295,0,405
newberry,STONEY HILL,501,728,68.81868131868131,23,4,0,0,1,93,0,0,121,65,0,4,1,407,3,14,494,63,9,390,6,1,469,49,406,0,455
newberry,ST PHILLIPS JOLLY ST.,644,1022,63.013698630136986,106,2,0,2,2,63,0,2,177,197,4,4,2,419,2,11,639,193,21,412,9,0,635,NA,NA,NA,NA
newberry,WHEELAND,317,450,70.44444444444444,13,4,1,1,1,48,0,0,68,43,3,2,0,253,2,12,315,44,6,248,3,0,301,NA,NA,NA,NA
newberry,WHITMIRE CITY,456,835,54.61077844311377,75,2,0,5,1,90,1,0,174,126,0,5,2,312,0,8,453,129,23,289,2,0,443,NA,NA,NA,NA
newberry,WHITMIRE OUTSIDE,477,764,62.43455497382199,95,1,0,7,0,83,5,1,192,135,3,4,1,321,1,6,471,137,9,307,8,0,461,NA,NA,NA,NA
