"county","precinct","cleveland","duncan","housewritein","housetotal"
"oconee","Newry-Corinth",45,103,0,148
"oconee","Earles Grove",61,432,0,493
"oconee","Ravenel",377,870,1,1248
"oconee","Fair Play",57,449,2,508
"oconee","Friendship",216,788,1,1005
"oconee","Holly Springs",20,195,1,216
"oconee","Keowee",112,700,0,812
"oconee","Long Creek",64,160,0,224
"oconee","Mountain Rest",110,412,1,523
"oconee","Madison",35,315,1,351
"oconee","Bountyland",155,611,1,767
"oconee","Oakway",98,624,1,723
"oconee","Return",56,374,0,430
"oconee","Richland",81,483,2,566
"oconee","Salem",115,853,2,970
"oconee","Stamp Creek",182,766,2,950
"oconee","New Hope",135,828,0,963
"oconee","Shiloh",199,428,0,627
"oconee","South Union",129,647,1,777
"oconee","Tamassee",108,634,1,743
"oconee","Tokeena-Providence",95,575,0,670
"oconee","Utica",145,187,0,332
"oconee","Walhalla 1",233,1148,4,1385
"oconee","Walhalla 2",199,841,1,1041
"oconee","Westminster 1",187,1139,1,1327
"oconee","Westminster 2",121,667,0,788
"oconee","West Union",144,706,3,853
"oconee","Seneca 1",497,697,0,1194
"oconee","Seneca 2",271,648,2,921
"oconee","Seneca 3",163,469,0,632
"oconee","Seneca 4",491,667,2,1160
"oconee","Absentee",2225,6477,11,8713
"oconee","Emergency",0,0,0,0
"oconee","Failsafe",3,30,0,33
"oconee","Provisional",20,52,0,72
"oconee","Failsafe Provisional",4,23,0,27
