"county","precinct","clinton","castle","mcmullin","stein","trump","skewes","johnson","potustotal"
"oconee","Newry-Corinth",45,0,0,2,103,1,4,155
"oconee","Earles Grove",65,0,0,3,428,1,8,505
"oconee","Ravenel",432,1,26,6,780,6,36,1287
"oconee","Fair Play",62,1,3,0,463,1,5,535
"oconee","Friendship",230,6,16,7,763,4,33,1059
"oconee","Holly Springs",18,0,0,1,199,1,4,223
"oconee","Keowee",140,1,9,5,673,1,13,842
"oconee","Long Creek",61,0,1,6,165,2,8,243
"oconee","Mountain Rest",108,1,4,5,417,1,9,545
"oconee","Madison",33,1,3,7,312,0,6,362
"oconee","Bountyland",181,4,11,10,572,1,18,797
"oconee","Oakway",103,2,9,3,619,3,11,750
"oconee","Return",53,0,2,0,377,0,11,443
"oconee","Richland",97,1,4,7,479,2,14,604
"oconee","Salem",137,1,2,3,851,2,18,1014
"oconee","Stamp Creek",247,2,9,5,696,2,26,987
"oconee","New Hope",166,4,16,5,782,5,29,1007
"oconee","Shiloh",215,3,12,1,394,7,12,644
"oconee","South Union",143,2,9,6,635,2,17,814
"oconee","Tamassee",119,1,8,2,631,1,15,777
"oconee","Tokeena-Providence",104,6,8,4,562,5,15,704
"oconee","Utica",145,1,2,7,180,3,7,345
"oconee","Walhalla 1",279,4,12,17,1091,2,43,1448
"oconee","Walhalla 2",216,5,7,7,843,3,19,1100
"oconee","Westminster 1",204,5,10,10,1128,2,20,1379
"oconee","Westminster 2",121,1,6,8,680,2,9,827
"oconee","West Union",165,4,8,6,686,3,21,893
"oconee","Seneca 1",529,5,18,10,648,1,41,1252
"oconee","Seneca 2",298,8,11,11,586,4,37,955
"oconee","Seneca 3",166,1,9,3,452,2,17,650
"oconee","Seneca 4",527,4,13,14,637,5,26,1226
"oconee","Absentee",2564,17,67,43,6237,26,168,9122
"oconee","Emergency",0,0,0,0,0,0,0,0
"oconee","Failsafe",6,0,1,0,27,0,2,36
"oconee","Provisional",16,0,0,0,56,0,3,75
"oconee","Failsafe Provisional",3,0,0,1,26,0,0,30
