"county","precinct","dixon","bledsoe","scott","scarborough","senwritein","sentotal"
"oconee","Newry-Corinth",48,6,96,2,0,152
"oconee","Earles Grove",67,4,423,3,0,497
"oconee","Ravenel",331,23,903,9,0,1266
"oconee","Fair Play",60,5,455,6,0,526
"oconee","Friendship",193,25,801,12,2,1033
"oconee","Holly Springs",28,4,190,2,0,224
"oconee","Keowee",107,12,705,6,2,832
"oconee","Long Creek",64,4,161,2,0,231
"oconee","Mountain Rest",109,6,416,4,0,535
"oconee","Madison",39,10,303,2,0,354
"oconee","Bountyland",145,12,626,2,0,785
"oconee","Oakway",99,9,615,4,1,728
"oconee","Return",47,5,386,1,0,439
"oconee","Richland",85,6,488,4,1,584
"oconee","Salem",117,20,846,6,1,990
"oconee","Stamp Creek",153,7,809,1,0,970
"oconee","New Hope",133,8,830,7,1,979
"oconee","Shiloh",185,9,436,8,0,638
"oconee","South Union",130,12,643,7,0,792
"oconee","Tamassee",107,12,633,4,1,757
"oconee","Tokeena-Providence",101,16,554,4,0,675
"oconee","Utica",139,5,195,3,0,342
"oconee","Walhalla 1",254,33,1108,11,1,1407
"oconee","Walhalla 2",209,32,803,14,2,1060
"oconee","Westminster 1",191,31,1119,10,1,1352
"oconee","Westminster 2",118,20,643,10,0,791
"oconee","West Union",135,21,697,12,0,865
"oconee","Seneca 1",444,18,742,4,1,1209
"oconee","Seneca 2",257,20,659,6,1,943
"oconee","Seneca 3",144,17,469,5,0,635
"oconee","Seneca 4",452,29,704,8,0,1193
"oconee","Absentee",2004,99,6693,31,5,8832
"oconee","Emergency",0,0,0,0,0,0
"oconee","Failsafe",4,3,26,0,0,33
"oconee","Provisional",18,3,50,1,0,72
"oconee","Failsafe Provisional",5,0,21,0,0,26
