"county","precinct","bc","rv","vtp"
"oconee","Newry-Corinth",155,281,55.1601423487544
"oconee","Earles Grove",508,824,61.6504854368932
"oconee","Ravenel",1300,2505,51.8962075848303
"oconee","Fair Play",541,947,57.1277719112988
"oconee","Friendship",1070,1988,53.8229376257545
"oconee","Holly Springs",227,361,62.8808864265928
"oconee","Keowee",852,1783,47.7846326416153
"oconee","Long Creek",244,384,63.5416666666667
"oconee","Mountain Rest",551,876,62.8995433789954
"oconee","Madison",366,605,60.495867768595
"oconee","Bountyland",806,1791,45.0027917364601
"oconee","Oakway",758,1315,57.6425855513308
"oconee","Return",448,693,64.6464646464647
"oconee","Richland",608,998,60.9218436873748
"oconee","Salem",1026,1791,57.286432160804
"oconee","Stamp Creek",998,2741,36.4100693177672
"oconee","New Hope",1014,2239,45.2880750334971
"oconee","Shiloh",651,1172,55.5460750853242
"oconee","South Union",821,1557,52.7296082209377
"oconee","Tamassee",781,1332,58.6336336336336
"oconee","Tokeena-Providence",712,1291,55.151045701007
"oconee","Utica",349,732,47.6775956284153
"oconee","Walhalla 1",1462,3583,40.8037957019258
"oconee","Walhalla 2",1101,2720,40.4779411764706
"oconee","Westminster 1",1391,2924,47.5718194254446
"oconee","Westminster 2",833,1841,45.2471482889734
"oconee","West Union",901,1825,49.3698630136986
"oconee","Seneca 1",1260,2826,44.5859872611465
"oconee","Seneca 2",967,2165,44.6651270207852
"oconee","Seneca 3",654,1381,47.3569876900797
"oconee","Seneca 4",1238,2909,42.5575799243726
