"county","precinct","bc","rv","vtp","dem","wf","constitution","independence","green","gop","american","libertarian","sttotal","clinton","castle","mcmullin","stein","trump","skewes","johnson","potustotal","dixon","bledsoe","scott","scarborough","senwritein","sentotal","cleveland","duncan","housewritein","housetotal"
"pickens","Stone Church",728,1191,61.1251049538203,113,4,0,1,1,123,0,3,245,347,0,27,14,287,10,35,720,292,18,398,5,0,713,316,380,2,698
"pickens","University",386,826,46.7312348668281,47,0,0,0,0,73,1,3,124,155,0,8,6,175,17,20,381,119,14,240,5,1,379,137,230,1,368
"pickens","Morrison",676,1307,51.7214996174445,74,1,1,3,1,123,2,9,214,285,3,17,9,293,15,41,663,209,23,424,2,1,659,234,412,1,647
"pickens","Abel",508,1031,49.2725509214355,148,3,0,5,0,65,3,3,227,269,0,13,6,175,9,31,503,232,11,235,5,2,485,247,228,1,476
"pickens","Calhoun",535,1329,40.2558314522197,93,1,0,4,3,95,5,6,207,261,2,7,8,211,7,33,529,200,29,287,5,1,522,221,290,1,512
"pickens","Clemson",1017,1741,58.4147041929925,137,2,0,2,2,205,1,4,353,424,6,23,4,480,19,37,993,319,15,635,8,0,977,357,596,3,956
"pickens","Issaqueena",457,904,50.5530973451327,74,0,0,5,2,80,0,1,162,202,2,11,3,199,18,15,450,165,9,273,7,0,454,181,263,2,446
"pickens","West Central",448,1249,35.8686949559648,74,3,1,9,4,85,1,7,184,182,1,21,7,196,2,36,445,159,22,249,2,0,432,168,255,1,424
"pickens","North Central",638,1058,60.3024574669187,59,2,0,3,4,204,2,4,278,161,4,15,7,425,5,16,633,129,19,465,3,1,617,138,466,0,604
"pickens","Pike",573,1030,55.6310679611651,81,1,1,7,2,132,3,5,232,202,2,11,7,321,8,16,567,169,15,369,2,1,556,187,356,0,543
"pickens","Lawrence Chapel",768,1200,64,46,1,1,4,3,219,1,3,278,186,3,14,4,515,12,28,762,133,15,590,4,0,742,153,578,1,732
"pickens","Norris",702,1154,60.8318890814558,50,2,0,1,1,294,1,0,349,100,0,4,6,574,4,9,697,100,16,558,5,1,680,82,589,0,671
"pickens","Six Mile",848,1406,60.3129445234708,30,3,1,2,2,335,1,3,377,97,4,6,3,713,5,15,843,94,17,703,5,0,819,87,718,0,805
"pickens","Six Mile Mountain",894,1445,61.8685121107266,34,3,0,4,1,287,4,1,334,128,8,19,3,702,3,21,884,105,19,729,8,2,863,108,743,2,853
"pickens","Praters Creek",528,872,60.5504587155963,12,3,0,3,1,206,2,0,227,33,3,5,6,473,0,6,526,36,13,462,4,0,515,32,478,0,510
