"county","precinct","cleveland","duncan","housewritein","housetotal"
"pickens","Stone Church",316,380,2,698
"pickens","University",137,230,1,368
"pickens","Morrison",234,412,1,647
"pickens","Abel",247,228,1,476
"pickens","Calhoun",221,290,1,512
"pickens","Clemson",357,596,3,956
"pickens","Issaqueena",181,263,2,446
"pickens","West Central",168,255,1,424
"pickens","North Central",138,466,0,604
"pickens","Pike",187,356,0,543
"pickens","Lawrence Chapel",153,578,1,732
"pickens","Norris",82,589,0,671
"pickens","Six Mile",87,718,0,805
"pickens","Six Mile Mountain",108,743,2,853
"pickens","Praters Creek",32,478,0,510
"pickens","Mountain View",100,627,2,729
"pickens","Albert R. Lewis",63,659,1,723
"pickens","Holly Springs",121,681,0,802
"pickens","Pumpkintown",141,745,4,890
"pickens","Griffin",92,799,2,893
"pickens","North Pickens",57,658,0,715
"pickens","West Pickens",105,665,2,772
"pickens","South Pickens",128,437,0,565
"pickens","East Pickens",50,625,0,675
"pickens","Glassy Mountain",60,626,0,686
"pickens","Cedar Rock",69,667,0,736
"pickens","Skelton",59,613,0,672
"pickens","Rices Creek",85,609,1,695
"pickens","West Liberty",75,648,1,724
"pickens","East Liberty",86,552,3,641
"pickens","Flat Rock",90,615,1,706
"pickens","Zion",82,511,0,593
"pickens","Smith Grove",91,435,0,526
"pickens","Arial Mill",73,489,0,562
"pickens","Simpson",244,264,0,508
"pickens","Woodside",211,567,0,778
"pickens","Brushy Creek",169,776,0,945
"pickens","Pickensville",114,477,1,592
"pickens","Easley",123,500,0,623
"pickens","Forest Acres",118,382,1,501
"pickens","Crestview",84,598,0,682
"pickens","Sitton",137,692,1,830
"pickens","Rock Springs",117,566,0,683
"pickens","Saluda",119,541,0,660
"pickens","Crosswell",134,733,2,869
"pickens","Georges Creek",103,534,2,639
"pickens","McKissick",149,512,0,661
"pickens","Vinland",71,557,0,628
"pickens","Crossroads",71,664,0,735
"pickens","Dacusville",80,588,0,668
"pickens","Nine Forks",65,697,3,765
"pickens","South Central",222,351,1,574
"pickens","Crescent Hill",52,605,1,658
"pickens","North Liberty",97,506,2,605
"pickens","Pendleton",62,513,0,575
"pickens","Fruit Mountain",77,458,0,535
"pickens","Pope Field",107,395,2,504
"pickens","Sheffield",120,651,1,772
"pickens","Tri County",70,254,1,325
"pickens","McAllister",102,442,0,544
"pickens","Lenhart",117,483,1,601
"pickens","Absentee",1575,5362,11,6948
"pickens","Absentee 2",13,70,1,84
"pickens","Emergency",0,0,0,0
"pickens","Emergency 2",0,0,0,0
"pickens","Failsafe",18,95,0,113
"pickens","Failsafe 2",0,2,0,2
"pickens","Provisional",21,112,0,133
"pickens","Provisional 2",0,0,0,0
"pickens","Failsafe Provisional",6,36,0,42
