"county","precinct","clinton","castle","mcmullin","stein","trump","skewes","johnson","potustotal"
"pickens","Stone Church",347,0,27,14,287,10,35,720
"pickens","University",155,0,8,6,175,17,20,381
"pickens","Morrison",285,3,17,9,293,15,41,663
"pickens","Abel",269,0,13,6,175,9,31,503
"pickens","Calhoun",261,2,7,8,211,7,33,529
"pickens","Clemson",424,6,23,4,480,19,37,993
"pickens","Issaqueena",202,2,11,3,199,18,15,450
"pickens","West Central",182,1,21,7,196,2,36,445
"pickens","North Central",161,4,15,7,425,5,16,633
"pickens","Pike",202,2,11,7,321,8,16,567
"pickens","Lawrence Chapel",186,3,14,4,515,12,28,762
"pickens","Norris",100,0,4,6,574,4,9,697
"pickens","Six Mile",97,4,6,3,713,5,15,843
"pickens","Six Mile Mountain",128,8,19,3,702,3,21,884
"pickens","Praters Creek",33,3,5,6,473,0,6,526
"pickens","Mountain View",120,2,7,5,594,2,18,748
"pickens","Albert R. Lewis",79,4,3,4,632,3,15,740
"pickens","Holly Springs",131,2,7,12,669,1,12,834
"pickens","Pumpkintown",147,4,13,3,738,2,14,921
"pickens","Griffin",89,4,4,6,798,1,19,921
"pickens","North Pickens",66,2,5,3,641,0,17,734
"pickens","West Pickens",116,1,4,4,660,3,12,800
"pickens","South Pickens",144,1,6,3,435,0,15,604
"pickens","East Pickens",58,3,2,7,625,2,15,712
"pickens","Glassy Mountain",61,1,3,7,627,2,13,714
"pickens","Cedar Rock",84,3,4,1,650,2,15,759
"pickens","Skelton",65,1,10,3,603,2,7,691
"pickens","Rices Creek",88,1,4,5,602,3,13,716
"pickens","West Liberty",81,1,15,2,628,2,15,744
"pickens","East Liberty",99,0,2,2,543,3,16,665
"pickens","Flat Rock",100,0,7,4,605,3,22,741
"pickens","Zion",88,4,12,2,482,1,13,602
"pickens","Smith Grove",97,4,6,2,419,0,18,546
"pickens","Arial Mill",78,1,8,2,481,3,10,583
"pickens","Simpson",265,3,8,1,254,2,11,544
"pickens","Woodside",235,5,8,6,524,3,22,803
"pickens","Brushy Creek",196,5,8,5,721,1,41,977
"pickens","Pickensville",123,2,3,6,453,0,22,609
"pickens","Easley",145,2,9,3,473,0,20,652
"pickens","Forest Acres",122,0,5,7,363,0,12,509
"pickens","Crestview",117,3,7,8,539,0,21,695
"pickens","Sitton",176,1,10,2,641,2,24,856
"pickens","Rock Springs",135,1,11,6,533,3,15,704
"pickens","Saluda",136,2,7,7,519,0,10,681
"pickens","Crosswell",140,3,7,3,713,3,20,889
"pickens","Georges Creek",122,2,3,4,509,0,17,657
"pickens","McKissick",178,5,8,7,480,0,10,688
"pickens","Vinland",80,0,4,3,549,1,11,648
"pickens","Crossroads",89,4,3,5,656,3,13,773
"pickens","Dacusville",95,2,2,3,572,0,12,686
"pickens","Nine Forks",74,5,5,6,692,1,8,791
"pickens","South Central",237,0,17,10,308,4,25,601
"pickens","Crescent Hill",75,6,3,8,581,4,12,689
"pickens","North Liberty",100,2,3,4,489,0,25,623
"pickens","Pendleton",65,1,2,4,503,1,17,593
"pickens","Fruit Mountain",90,0,6,1,435,0,19,551
"pickens","Pope Field",117,1,9,5,376,1,11,520
"pickens","Sheffield",167,1,8,2,603,1,13,795
"pickens","Tri County",75,2,4,2,237,0,11,331
"pickens","McAllister",118,3,3,3,414,2,14,557
"pickens","Lenhart",135,4,8,5,469,0,8,629
"pickens","Absentee",1864,20,52,29,5152,23,104,7244
"pickens","Absentee 2",14,1,0,1,67,0,1,84
"pickens","Emergency",0,0,0,0,0,0,0,0
"pickens","Emergency 2",0,0,0,0,0,0,0,0
"pickens","Failsafe",19,0,0,0,98,0,2,119
"pickens","Failsafe 2",0,0,0,0,2,0,0,2
"pickens","Provisional",23,0,3,0,103,1,4,134
"pickens","Provisional 2",0,0,0,0,0,0,0,0
"pickens","Failsafe Provisional",4,0,0,2,37,0,1,44
