"county","precinct","dem","wf","constitution","independence","green","gop","american","libertarian","sttotal"
"pickens","Stone Church",113,4,0,1,1,123,0,3,245
"pickens","University",47,0,0,0,0,73,1,3,124
"pickens","Morrison",74,1,1,3,1,123,2,9,214
"pickens","Abel",148,3,0,5,0,65,3,3,227
"pickens","Calhoun",93,1,0,4,3,95,5,6,207
"pickens","Clemson",137,2,0,2,2,205,1,4,353
"pickens","Issaqueena",74,0,0,5,2,80,0,1,162
"pickens","West Central",74,3,1,9,4,85,1,7,184
"pickens","North Central",59,2,0,3,4,204,2,4,278
"pickens","Pike",81,1,1,7,2,132,3,5,232
"pickens","Lawrence Chapel",46,1,1,4,3,219,1,3,278
"pickens","Norris",50,2,0,1,1,294,1,0,349
"pickens","Six Mile",30,3,1,2,2,335,1,3,377
"pickens","Six Mile Mountain",34,3,0,4,1,287,4,1,334
"pickens","Praters Creek",12,3,0,3,1,206,2,0,227
"pickens","Mountain View",39,2,0,0,1,265,0,3,310
"pickens","Albert R. Lewis",18,9,0,4,0,213,5,1,250
"pickens","Holly Springs",48,4,0,5,2,277,2,3,341
"pickens","Pumpkintown",65,6,0,5,2,302,2,1,383
"pickens","Griffin",31,7,2,9,0,312,4,1,366
"pickens","North Pickens",15,8,0,4,2,240,1,5,275
"pickens","West Pickens",47,8,0,4,2,237,6,0,304
"pickens","South Pickens",68,5,0,7,1,176,5,0,262
"pickens","East Pickens",24,2,0,4,2,222,5,2,261
"pickens","Glassy Mountain",24,6,0,3,2,237,2,4,278
"pickens","Cedar Rock",31,1,1,0,1,330,0,0,364
"pickens","Skelton",23,8,0,3,1,227,2,1,265
"pickens","Rices Creek",28,3,0,5,1,296,1,1,335
"pickens","West Liberty",27,8,1,4,3,284,4,2,333
"pickens","East Liberty",46,7,0,5,0,240,4,5,307
"pickens","Flat Rock",46,6,0,2,2,318,8,4,386
"pickens","Zion",48,2,0,2,0,233,2,1,288
"pickens","Smith Grove",44,5,1,7,1,216,1,4,279
"pickens","Arial Mill",37,4,0,5,3,204,4,2,259
"pickens","Simpson",177,10,2,5,0,114,2,0,310
"pickens","Woodside",116,6,1,5,1,235,6,1,371
"pickens","Brushy Creek",92,3,3,8,2,325,2,4,439
"pickens","Pickensville",50,4,0,5,4,226,0,0,289
"pickens","Easley",62,3,0,3,0,229,2,5,304
"pickens","Forest Acres",60,2,1,2,4,171,2,1,243
"pickens","Crestview",31,2,0,2,3,251,0,2,291
"pickens","Sitton",80,1,0,1,2,293,1,4,382
"pickens","Rock Springs",59,3,0,0,1,251,2,2,318
"pickens","Saluda",79,5,0,4,2,290,4,1,385
"pickens","Crosswell",67,3,0,4,2,373,5,2,456
"pickens","Georges Creek",54,1,1,2,0,259,0,1,318
"pickens","McKissick",82,1,2,4,0,231,1,3,324
"pickens","Vinland",26,0,0,2,2,328,1,1,360
"pickens","Crossroads",25,3,3,2,3,299,2,2,339
"pickens","Dacusville",36,2,0,4,1,286,1,1,331
"pickens","Nine Forks",30,9,1,0,1,323,2,0,366
"pickens","South Central",125,7,0,2,5,147,4,1,291
"pickens","Crescent Hill",13,1,2,2,2,224,3,3,250
"pickens","North Liberty",49,3,0,4,1,239,2,3,301
"pickens","Pendleton",28,2,0,1,1,249,2,1,284
"pickens","Fruit Mountain",43,5,0,2,1,218,4,1,274
"pickens","Pope Field",60,1,0,3,2,143,1,2,212
"pickens","Sheffield",66,6,0,0,1,233,0,3,309
"pickens","Tri County",34,1,1,2,0,105,0,3,146
"pickens","McAllister",64,5,1,3,1,191,1,1,267
"pickens","Lenhart",61,1,1,5,3,230,0,0,301
"pickens","Absentee",756,10,1,22,6,2530,15,7,3347
"pickens","Absentee 2",8,0,0,0,0,37,0,0,45
"pickens","Emergency",0,0,0,0,0,0,0,0,0
"pickens","Emergency 2",0,0,0,0,0,0,0,0,0
"pickens","Failsafe",7,1,0,1,0,50,1,0,60
"pickens","Failsafe 2",0,0,0,1,0,1,0,0,2
"pickens","Provisional",14,0,1,3,0,53,0,0,71
"pickens","Provisional 2",0,0,0,0,0,0,0,0,0
"pickens","Failsafe Provisional",2,1,0,0,0,23,0,0,26
