county,precinct,bc,rv,vtp,dem,wf,constitution,independence,green,gop,american,libertarian,sttotal,clinton,castle,mcmullin,stein,trump,skewes,johnson,potustotal,dixon,bledsoe,scott,scarborough,senwritein,sentotal,cleveland,duncan,housewritein,housetotal
saluda,CENTENNIAL,305,481,63.409563409563404,40,0,0,3,1,56,0,2,102,57,2,1,3,229,1,7,300,67,2,222,4,0,295,58,231,0,289
saluda,CLYDE,176,241,73.02904564315352,7,0,0,3,1,34,1,0,46,18,1,5,1,148,0,1,174,21,0,149,2,0,172,14,157,0,171
saluda,DELMAR,259,402,64.42786069651741,10,1,0,3,2,79,1,1,97,31,2,1,3,218,0,1,256,25,7,216,4,0,252,22,222,0,244
saluda,FRUIT HILL,423,718,58.91364902506964,210,3,0,4,1,34,1,1,254,259,1,1,2,155,0,4,422,264,7,139,0,2,412,253,153,1,407
saluda,HIGGINS-ZOAR,367,665,55.18796992481203,115,1,1,3,0,28,2,0,150,172,1,0,2,188,0,2,365,150,5,194,3,1,353,154,196,0,350
saluda,HOLLY,602,925,65.08108108108108,23,3,0,3,0,211,4,1,245,67,0,4,3,512,1,10,597,55,7,527,2,1,592,49,527,2,578
saluda,HOLLYWOOD,792,1209,65.50868486352357,39,7,2,6,0,166,2,0,222,87,3,6,1,668,3,10,778,93,11,641,10,0,755,74,678,0,752
saluda,HOLSTONS,573,889,64.45444319460067,141,5,0,4,1,128,1,3,283,209,1,0,2,348,2,10,572,193,12,347,4,0,556,191,352,0,543
saluda,MAYSON,267,392,68.11224489795919,41,5,0,0,1,63,1,0,111,63,0,0,3,197,1,2,266,67,5,184,2,0,258,59,193,0,252
saluda,MT. WILLING,151,236,63.983050847457626,16,0,0,1,0,33,1,0,51,32,0,0,0,116,0,2,150,36,3,108,2,0,149,28,115,0,143
saluda,PLEASANT CROSS,135,208,64.90384615384616,54,0,0,0,0,24,0,0,78,61,0,0,0,72,0,0,133,60,2,71,0,0,133,61,70,0,131
saluda,PLEASANT GROVE,455,667,68.21589205397302,21,0,0,0,0,112,1,0,134,57,1,6,3,380,0,4,451,61,12,366,2,0,441,53,386,0,439
saluda,RICHLAND,394,570,69.12280701754386,44,3,0,2,0,97,1,1,148,74,0,1,1,311,1,5,393,68,9,298,1,0,376,59,307,0,366
saluda,RIDGE SPRING - MONETTA,496,832,59.61538461538461,203,3,1,3,2,70,2,0,284,256,2,2,3,219,0,5,487,244,6,223,2,0,475,241,226,0,467
saluda,SALUDA NO. 1,686,1246,55.0561797752809,344,4,2,3,0,37,2,2,394,444,0,2,5,218,0,8,677,416,13,210,5,0,644,413,222,0,635
saluda,SALUDA NO. 2,625,1138,54.92091388400703,152,3,0,5,0,81,7,1,249,243,1,3,3,355,1,12,618,213,12,374,7,0,606,204,393,0,597
saluda,SARDIS,371,506,73.3201581027668,5,3,1,4,2,60,2,0,77,32,0,4,3,327,0,1,367,43,8,300,3,0,354,31,319,0,350
saluda,WARD,267,438,60.95890410958904,93,3,0,2,1,57,1,1,158,126,0,3,0,130,1,0,260,122,5,129,1,0,257,117,138,0,255
